Index,Date,Steps,Weight,Distance,Calories,Heart Points,Days,fiveDMA_htpts,predict,error,errpct,htpts,four_MA,nine_MA,thirteen_MA,Seasonality,Trend,Residual,Actual_values
0,01-01-2021,4500, ,2647.895851,1659.5065,5,1,,11.78172188,-6.781721877,-135.63%,5,5,5,5,-6.212865236,3.775510204,7.437355032,5
1,02-01-2021,3540, ,2044.964912,2000,0,2,,6.463545837,-6.463545837,100.00%,0,2.5,2.5,2.5,5.51891319,4.040816327,-9.559729516,0
2,03-01-2021,8364, ,5160.580338,1813.905327,9,3,,33.18738044,-24.18738044,-268.75%,9,4.666666667,4.666666667,4.666666667,4.060215425,4.306122449,0.633662126,9
3,04-01-2021,8490, ,5123.833559,1677.717371,4,4,,33.88539104,-29.88539104,-747.13%,4,4.5,4.5,4.5,1.236114356,5,-2.236114356,4
4,05-01-2021,10608, ,6351.877991,2098.42037,1,5,,45.61861693,-44.61861693,-4461.86%,1,3.8,3.8,3.8,-6.767287004,4.285714286,3.481572719,1
5,06-01-2021,5832, ,3475.074966,1748.852061,3,6,,19.16069113,-16.16069113,-538.69%,3,3.666666667,3.666666667,3.666666667,-1.396538705,5.428571429,-1.032032723,3
6,07-01-2021,7216, ,4273.083189,1774.742965,13,7,,26.82772826,-13.82772826,-106.37%,13,5,5,5,3.561447974,4.857142857,4.581409169,13
7,08-01-2021,4288, ,2339.606124,2000,0,8,,10.60729134,-10.60729134,100.00%,0,4.375,4.375,4.375,-6.212865236,5.857142857,0.355722379,0
8,09-01-2021,9992, ,5831.677867,2055.848449,8,9,,42.20612064,-34.20612064,-427.58%,8,4.777777778,4.375,4.777777778,5.51891319,5.857142857,-3.376056047,8
9,10-01-2021,9258, ,5549.168359,2005.308026,5,10,4.8,38.13993188,-33.13993188,-662.80%,5,4.777777778,4.75,4.8,4.060215425,6.285714286,-5.345929711,5
10,11-01-2021,4022, ,2310.178105,1672.294249,11,11,5.4,9.133713391,1.866286609,16.97%,11,6,5.375,5.363636364,1.236114356,4.857142857,4.906742787,11
11,12-01-2021,4382, ,2575.442371,1651.890683,1,12,5.5,11.12802941,-10.12802941,-1012.80%,1,5.111111111,5.625,5,-6.767287004,4.857142857,2.910144147,1
12,13-01-2021,4085, ,2322.798575,1617.26616,6,13,5.2,9.482718693,-3.482718693,-58.05%,6,5.333333333,5.25,5.076923077,-1.396538705,3.714285714,3.682252991,6
13,14-01-2021,2832, ,1643.472192,1614.476494,3,14,5.1,2.541391008,0.458608992,15.29%,3,5.555555556,5.875,4.923076923,3.561447974,5.142857143,-5.704305117,3
14,15-01-2021,722, ,332.9756713,2000,0,15,5,-9.147516747,9.147516747,100.00%,0,5.222222222,5.875,4.923076923,-6.212865236,6.857142857,-0.644277621,0
15,16-01-2021,2802, ,1539.049334,2000,0,16,4.7,2.375198006,-2.375198006,100.00%,0,3.777777778,4.25,4.230769231,5.51891319,7.285714286,-12.80462748,0
16,17-01-2021,3690, ,2331.807775,1642.87421,15,17,4.9,7.294510843,7.705489157,51.37%,15,5.444444444,4.25,5.076923077,4.060215425,6.428571429,4.511213146,15
17,18-01-2021,7797, ,5065.146221,1755.756274,23,18,7.2,30.04633271,-7.046332715,-30.64%,23,7.111111111,5.125,6.769230769,1.236114356,12.57142857,9.192457072,23
18,19-01-2021,5604, ,3288.25,1768.455126,4,19,6.8,17.89762432,-13.89762432,-347.44%,4,7,7.375,6.846153846,-6.767287004,18.57142857,-7.804141567,4
19,20-01-2021,2303, ,1325.226659,2000,0,20,6.3,-0.389145581,0.389145581,100.00%,0,5.777777778,6.5,5.846153846,-1.396538705,25.42857143,-24.03203272,0
20,21-01-2021,11103, ,7246.230015,1885.967479,46,21,9.8,48.36080145,-2.360801453,-5.13%,46,10.77777778,6.375,9.384615385,3.561447974,29.85714286,12.58140917,46
21,22-01-2021,10108, ,7002.756318,1848.301241,42,22,13.9,42.84873358,-0.848733578,-2.02%,42,14.77777778,11.375,12,-6.212865236,33.57142857,14.64143666,42
